issn,journal_name,source
1477-3880,International Review of Economics Education,JCR
1029-3523,Investment Analysts Journal,JCR
1026-1265,Iranian Polymer Journal (English Edition),JCR
1214-021X,Journal of Applied Biomedicine,JCR
1234-1983,Journal of Applied Genetics,JCR
1755-5345,Journal of Choice Modelling,JCR
2052-336X,Journal of Environmental Health Science and Engineering,JCR
1473-8376,"Journal of Hospitality, Leisure, Sports and Tourism Education",JCR
0949-5932,Journal of Lie Theory,JCR
1402-9251,Journal of Nonlinear Mathematical Physics,JCR
0022-3131,Journal of Nuclear Science and Technology,JCR
1678-5878,Journal of the Brazilian Society of Mechanical Sciences and Engineering,JCR
1735-207X,Journal of the Iranian Chemical Society,JCR
0035-8835,Journal of the Royal College of Surgeons of Edinburgh,JCR
1369-7021,Materials Today,JCR
0025-7273,Medical History,JCR
0210-5691,Medicina Intensiva,JCR
0385-5600,Microbiology and Immunology,JCR
0027-7630,Nagoya Mathematical Journal,JCR
1519-566X,Neotropical Entomology,JCR
1130-1473,Neurocirugia,JCR
0028-3843,Neurologia i Neurochirurgia Polska,JCR
1734-1140,Pharmacological Reports,JCR
2212-6864,Physics of the Dark Universe,JCR
1546-3222,Proceedings of the American Thoracic Society,JCR
1806-9959,Revista Brasileira de Botanica,JCR
0300-8932,Revista Espanola de Cardiologia,JCR
1869-1889,Science China Life Sciences,JCR
0036-9330,Scottish Medical Journal,JCR
1948-822X,Journal of the Society for Social Work and Research,JCR
1982-5676,Tropical Plant Pathology,JCR
1303-829X,Turk Biyokimya Dergisi,JCR
1309-1042,Atmospheric Pollution Research,JCR
1475-7516,Journal of Cosmology and Astroparticle Physics,JCR
1940-087X,Journal of Visualized Experiments,JCR
1349-0540,Polymer Journal,JCR
1614-7065,Chinese Journal of Chemistry,JCR
0289-0003,Zoological Science,JCR
1001-0602,Cell Research,JCR
1745-7254,Acta Pharmacologica Sinica,JCR
0210-4806,Actas Urologicas Espanolas,MEDLINE
1896-1126,Advances in Medical Sciences,MEDLINE
0914-7187,Annals of Nuclear Medicine,MEDLINE
0253-6269,Archives of Pharmacal Research,MEDLINE
0365-6691,Archivos de la Sociedad Espanola de Oftalmologia,MEDLINE
1559-4106,Biointerphases,MEDLINE
0846-5371,Canadian Association of Radiologists Journal,MEDLINE
1499-2671,Canadian Journal of Diabetes,MEDLINE
0706-7437,Canadian Journal of Psychiatry,MEDLINE
1467-3037,Current Issues in Molecular Biology,MEDLINE
2008-2231,DARU Journal of Pharmaceutical Sciences,MEDLINE
1520-4383,Hematology online (ASH),MEDLINE
0916-9636,Hypertension Research,MEDLINE
0254-8860,Indian Journal of Gastroenterology,MEDLINE
0019-5456,Indian Journal of Pediatrics,MEDLINE
1234-1983,Journal of Applied Genetics,MEDLINE
0035-8835,Journal of the Royal College of Surgeons of Edinburgh,MEDLINE
0025-7273,Medical History,MEDLINE
0210-5691,Medicina Intensiva,MEDLINE
0385-5600,Microbiology and Immunology,MEDLINE
1519-566X,Neotropical Entomology,MEDLINE
1130-1473,Neurocirugia,MEDLINE
1734-1140,Pharmacological Reports,MEDLINE
1546-3222,Proceedings of the American Thoracic Society,MEDLINE
1699-8855,Revista Espanola de Patologia,MEDLINE
1869-1889,Science China Life Sciences,MEDLINE
0036-9330,Scottish Medical Journal,MEDLINE
1672-1977,Zhong xi yi jie he xue bao = Journal of Chinese integrative medicine,MEDLINE
1940-087X,Journal of Visualized Experiments,MEDLINE
1001-0602,Cell Research,MEDLINE
1745-7254,Acta Pharmacologica Sinica,MEDLINE
2190-5738,3 Biotech,Crossref
1012-8255,Academia Revista Latinoamericana de Administracion,Crossref
1895-7455,Acta Geophysica,Crossref
0210-4806,Actas Urologicas Espanolas,Crossref
1896-1126,Advances in Medical Sciences,Crossref
1872-5457,African Diaspora,Crossref
1472-2747,Algebraic & Geometric Topology (AGT),Crossref
0002-7014,Ameghiniana,Crossref
2008-8752,Annals of Functional Analysis,Crossref
0003-486X,Annals of Mathematics,Crossref
0914-7187,Annals of Nuclear Medicine,Crossref
0003-6862,Applied Entomology and Zoology,Crossref
2190-5517,Applied Nanoscience,Crossref
1319-8025,Arabian Journal for Science and Engineering,Crossref
0253-6269,Archives of Pharmacal Research,Crossref
0365-6691,Archivos de la Sociedad Espanola de Oftalmologia,Crossref
1566-5399,Ars Disputandi : the Online Journal for Philosophy of Religion,Crossref
0311-6999,Australian Educational Researcher,Crossref
1735-8787,Banach Journal of Mathematical Analysis,Crossref
1559-4106,Biointerphases,Crossref
0791-7945,Biology and Environment,Crossref
0103-9733,Brazilian Journal of Physics,Crossref
1759-3077,Bulletin of Italian Politics,Crossref
0253-2964,Bulletin of the Korean Chemical Society,Crossref
0846-5371,Canadian Association of Radiologists Journal,Crossref
0823-2105,Canadian bulletin of medical history = Bulletin canadien dhistoire de la medecine,Crossref
1499-2671,Canadian Journal of Diabetes,Crossref
0706-7437,Canadian Journal of Psychiatry,Crossref
2213-0896,Cancer Treatment Communications,Crossref
0577-9073,Chinese Journal of Physics,Crossref
1861-9541,Chinese Science Bulletin,Crossref
2215-0382,Colloid and Interface Science Communications,Crossref
1807-0302,Computational and Applied Mathematics,Crossref
2352-2143,Computational Condensed Matter,Crossref
1609-4840,Computational Methods in Applied Mathematics,Crossref
2330-1392,Contention: The Multidisciplinary Journal of Social Protest,Crossref
1467-3037,Current Issues in Molecular Biology,Crossref
2008-2231,DARU Journal of Pharmaceutical Sciences,Crossref
0251-3625,DISP,Crossref
1548-159X,Dynamics of Partial Differential Equations (DPDE),Crossref
1618-7229,e-Polymers,Crossref
0313-5926,Economic Analysis and Policy,Crossref
1175-8708,English Teaching: Practice & Critique,Crossref
2215-1532,"Environmental Nanotechnology, Monitoring and Management",Crossref
1878-5085,EPMA Journal,Crossref
1733-8387,Geochronometria,Crossref
1364-0380,Geometry & Topology,Crossref
0975-1432,Global Journal of Enterprise Information System,Crossref
2190-7579,Gold Bulletin,Crossref
2047-2501,Health Information Science and Systems,Crossref
1520-4383,Hematology online (ASH),Crossref
1532-0073,"Homology, Homotopy and Applications (HHA)",Crossref
1051-1482,Housing Policy Debate,Crossref
1210-3055,Human Affairs,Crossref
0916-9636,Hypertension Research,Crossref
0018-8646,IBM Journal of Research and Development,Crossref
0018-8670,IBM Systems Journal,Crossref
2168-6750,IEEE Transactions on Emerging Topics in Computing,Crossref
0377-2063,IETE Journal of Research,Crossref
0256-4602,IETE Technical Review,Crossref
2193-9616,In Silico Pharmacology,Crossref
0970-1915,Indian Journal of Clinical Biochemistry,Crossref
0254-8860,Indian Journal of Gastroenterology,Crossref
0973-0508,Indian Journal of Neurotrauma,Crossref
0019-5456,Indian Journal of Pediatrics,Crossref
2193-9772,Integrating Materials and Manufacturing Innovation,Crossref
1735-1472,International Journal of Environmental Science and Technology,Crossref
1878-450X,International Journal of Gastronomy and Food Science,Crossref
0731-1265,International Journal of Legal Information,Crossref
1735-6814,International Journal of Plant Production,Crossref
1477-3880,International Review of Economics Education,Crossref
1029-3523,Investment Analysts Journal,Crossref
1026-1265,Iranian Polymer Journal (English Edition),Crossref
1214-021X,Journal of Applied Biomedicine,Crossref
1234-1983,Journal of Applied Genetics,Crossref
2251-1717,Journal of Astronomical Instrumentation,Crossref
1755-5345,Journal of Choice Modelling,Crossref
1550-3984,Journal of Construction Education,Crossref
2251-6581,Journal of Diabetes & Metabolic Disorders,Crossref
2052-336X,Journal of Environmental Health Science and Engineering,Crossref
1473-8376,"Journal of Hospitality, Leisure, Sports and Tourism Education",Crossref
1525-2019,Journal of Interactive Advertising,Crossref
1955-2629,"Journal of Language Contact : Evolution of Languages, Contact and Discourse",Crossref
1402-9251,Journal of Nonlinear Mathematical Physics,Crossref
0022-3131,Journal of Nuclear Science and Technology,Crossref
0972-978X,Journal of Orthopaedics,Crossref
1703-289X,Journal of Religion and Popular Culture,Crossref
2210-4690,Journal of Remanufacturing,Crossref
1678-5878,Journal of the Brazilian Society of Mechanical Sciences and Engineering,Crossref
1735-207X,Journal of the Iranian Chemical Society,Crossref
0035-8835,Journal of the Royal College of Surgeons of Edinburgh,Crossref
1995-0802,Lobachevskii Journal of Mathematics,Crossref
1895-6106,Lodz Papers in Pragmatics,Crossref
2212-9790,Maritime Studies,Crossref
1369-7021,Materials Today,Crossref
0025-7273,Medical History,Crossref
0210-5691,Medicina Intensiva,Crossref
2214-5400,Meta Gene,Crossref
0385-5600,Microbiology and Immunology,Crossref
0027-7630,Nagoya Mathematical Journal,Crossref
1519-566X,Neotropical Entomology,Crossref
1130-1473,Neurocirugia,Crossref
0028-3843,Neurologia i Neurochirurgia Polska,Crossref
1939-4225,New Horizons in Adult Education & Human Resource Development,Crossref
0917-2394,Pediatric Dental Journal,Crossref
1734-1140,Pharmacological Reports,Crossref
2212-6864,Physics of the Dark Universe,Crossref
2352-4073,Plant Gene,Crossref
1546-3222,Proceedings of the American Thoracic Society,Crossref
2363-9555,Research in Number Theory,Crossref
2197-9847,Research in the Mathematical Sciences,Crossref
1806-9959,Revista Brasileira de Botanica,Crossref
0300-8932,Revista Espanola de Cardiologia,Crossref
1699-8855,Revista Espanola de Patologia,Crossref
2007-4085,Revista Mexicana de Urología,Crossref
1869-1889,Science China Life Sciences,Crossref
0036-9330,Scottish Medical Journal,Crossref
1838-0743,Settler Colonial Studies,Crossref
1933-5415,Social Sudies Research and Practice,Crossref
1948-822X,Journal of the Society for Social Work and Research,Crossref
2214-9937,Sustainable Materials and Technologies,Crossref
1434-4599,The International Journal of Transgenderism,Crossref
1549-9243,The New Educator (Online),Crossref
1982-5676,Tropical Plant Pathology,Crossref
1303-829X,Turk Biyokimya Dergisi,Crossref
1995-5855,Vienna Journal on International Constitutional Law,Crossref
1672-1977,Zhong xi yi jie he xue bao = Journal of Chinese integrative medicine,Crossref
1309-1042,Atmospheric Pollution Research,Crossref
2198-3534,Bandung: Journal of the Global South,Crossref
2213-5383,Journal of Cancer Policy,Crossref
1475-7516,Journal of Cosmology and Astroparticle Physics,Crossref
1940-087X,Journal of Visualized Experiments,Crossref
1349-0540,Polymer Journal,Crossref
1614-7065,Chinese Journal of Chemistry,Crossref
0289-0003,Zoological Science,Crossref
1001-0602,Cell Research,Crossref
1745-7254,Acta Pharmacologica Sinica,Crossref
